row,utterance,score
0,Hi,0
1,"Hello, Laura.",0
2,How do I set up my IBM Notes,0
3,"To get started with Notes, you can get tips from this wiki.",0
4,how to I set up IBM notes social edition client configuration?,0
5,"To get started with Notes, you can get tips from this wiki.",0
