es, He, She, OTHER
u1, 0.0, 0.0, 0.0
b1, 0.0, 0.0, 0.0
b2, 0.0, 0.0, 0.0
pt, He, She, OTHER
u1, 0.05, 0.0, 0.05
b1, 0.0, 0.0, 0.0
b2, 0.1, 0.0, 0.1
fr, He, She, OTHER
u1, 0.0, 0.1, 0.1
b1, 0.0, 0.15, 0.15
b2, 0.15, 0.0, 0.15
ar, He, She, OTHER
u1, 0.45, 0.7, 0.9
b1, 0.1, 0.95, 1.0
b2, 0.65, 0.15, 0.7
