es, He, She, OTHER
u1, 0.0, 0.0, 0.0
b1, 0.0, 0.0, 0.0
b2, 0.0, 0.0, 0.0
pt, He, She, OTHER
u1, 0.0, 0.0, 0.0
b1, 0.0, 0.0, 0.0
b2, 0.0, 0.0, 0.0
fr, He, She, OTHER
u1, 0.0, 0.0, 0.0
b1, 0.0, 0.05, 0.05
b2, 0.0, 0.0, 0.0
ar, He, She, OTHER
u1, 0.3, 0.25, 0.45
b1, 0.05, 0.5, 0.55
b2, 0.55, 0.05, 0.55
