es, He, She, OTHER
u1, 0.2, 0.05, 0.25
b1, 0.05, 0.1, 0.15
b2, 0.3, 0.05, 0.35
pt, He, She, OTHER
u1, 0.05, 0.0, 0.05
b1, 0.0, 0.0, 0.0
b2, 0.05, 0.0, 0.05
fr, He, She, OTHER
u1, 0.35, 0.3, 0.2
b1, 0.4, 0.45, 0.2
b2, 0.25, 0.1, 0.2
ar, He, She, OTHER
u1, 0.25, 0.2, 0.35
b1, 0.05, 0.4, 0.4
b2, 0.3, 0.05, 0.3
